Recorder,EntregaLagunaGrande,EntregaLagunaChica,EvapLagunaChica,EntradaLagunaChica ,LagunaChicaStorage,EvapLagunaGrande,EntradaLagunaGrande,LagunaGrandeStorage,EvapSantaJuana,EntradaSantaJuana,rStaJuanaAbajo,InfSantaJuana,SantaJuanaStorage
1998-01,0.0,5.389598232728463e-15,0.007048197645648875,0.00033814102410959694,3464946.235764129,0.006442812386024465,0.0006710125905234817,6944449.641655134,0.3874185016078432,33.78136005299999,33.82615786318263,0.03403368820952083,169880000.0
1998-02,0.0,0.0,0.005966691038134784,0.004636402279094452,3461728.0011982587,0.009425694483078815,0.009227732665366872,6943970.732425725,0.3403205661182622,16.151144718999998,16.24639346467222,0.03403368820952083,169880000.0
1998-03,0.0,0.0,0.005413692372657473,0.0027294225643749006,3454538.452943755,0.008491418265611153,0.00543698680610976,6935789.743204596,0.29929978359507886,10.806899052999999,10.855989581195402,0.03403368820952083,169880000.0
1998-04,0.0,-1.6842494477276448e-16,0.002699885205298058,0.00501598324082821,3460541.7790518496,0.005045605749667528,0.010000795010748104,6948633.5937693175,0.18687245371672437,8.045108,8.177123858073752,0.03403368820952083,169880000.0
1998-05,0.0,1.578983857244667e-17,0.002206698211455236,0.0025722370931334725,3461520.8383925366,0.005279304232936184,0.0051290729066680125,6948231.21418504,0.13521665350234527,6.161688053,6.307499711288136,0.03403368820952083,169880000.0
1998-06,0.0,6.315935428978668e-17,0.0003585591742598763,0.008730471649310255,3483220.835527867,0.0013547210407971523,0.0174027378721795,6989827.673811983,0.11698519460315264,5.65475564,5.832349757187328,0.03403368820952083,169880000.0
1998-07,0.0022916818272866457,2.105311809659556e-17,-1.1842378929335004e-17,0.0030558376069128534,3491405.5909742224,1.3158198810372225e-18,0.006089593337149507,7000000.0,0.13521665350234527,4.974100503204348,5.132019161492482,0.03403368820952083,169880000.0
1998-08,0.0015901451689872362,-1.2631870857957337e-16,1.217133389959431e-16,0.000798668353646278,3493544.7442926285,2.631639762074445e-18,0.0015901451689872388,7000000.0,0.17471814778392927,4.380699145168988,4.599902847871173,0.03403368820952083,169577789.3283576
1998-09,-2.0559685641206603e-19,4.210623619319112e-17,0.00026404605708890504,0.0012050057358854937,3495983.711780069,0.004075571058644448,0.002397692059857832,6995650.937635145,0.21232196721696958,4.080647636999999,4.357643449848995,0.03397314344985362,169016823.7026046
1998-10,1.3158198810372225e-18,2.5263741715914673e-16,0.0065485087309744274,0.003061126215767095,3486643.1064513368,0.013382628272690072,0.006082925931679777,6976099.414884984,0.26150136689960507,4.146263052999999,4.527891820708324,0.03386075983080995,167921478.91333988
1998-11,1.2335811384723962e-18,3.3684988954552896e-16,0.0026423637705523164,0.0005491563174149685,3481217.512732804,0.004556327082989217,0.0010911230005951115,6967117.605903418,0.29885274638908793,4.552183459999999,5.222102313450539,0.03364131891345795,165971815.60393187
1998-12,0.0,0.0,0.003263810096052824,0.003926414052968208,3482992.231171006,0.006733172204035498,0.0078035216240518466,6969984.429789989,0.3532720075134289,4.660467588,5.404896114428852,0.03325072418078821,163497200.97657505
1999-01,0.0,0.0,0.0040770129743886805,0.0022861396611310787,3478195.556088777,0.006979395987377687,0.0045431243187606515,6963459.119752766,0.3728622593561402,4.1104811759999995,4.720411287675815,0.03275496092045044,161269727.47627372
1999-02,0.0,0.0,0.004266247286132195,0.005715241104594474,3481700.9619344007,0.009391165185776927,0.011362611335791405,6968228.442278881,0.323071609091496,4.3335638770000005,4.887241877915715,0.032308709810230124,159594844.38577136
1999-03,0.0,0.0,0.004709135447926101,0.004089612890483329,3480041.632716546,0.00904220819667404,0.008128037044173137,6965779.9262640225,0.28117908163145544,4.089462537,4.269514456741418,0.03197316443178914,158775066.85720015
1999-04,0.0,0.0,0.0020445299004162813,0.007130318196513806,3493223.9959800304,0.004304891500860868,0.014173162997992027,6991358.485984586,0.17465673612339272,3.9378030499999994,3.9520134813449572,0.03180893054428876,158686299.67515138
1999-05,0.0,0.0,0.0014070333198124118,0.0005062321721166542,3490811.290186042,0.0053837527626425935,0.0010061377396984347,6979633.481907132,0.1263069837458457,3.4382159759999995,3.3819635490155533,0.03179114696413167,158868491.12917292
1999-06,0.0,0.0,0.001625449191630967,0.004292722188415942,3497724.8617937085,0.0037013460692602836,0.0085233748641087,6992132.180543379,0.10940229191815118,3.2841692999999994,3.21698740615938,0.03182764712389508,159117139.2392108
1999-07,0.0010744126155327373,0.0011715113383065246,0.0,0.0020209506327701888,3500000.0,0.0,0.004011919879802851,7000000.0,0.12664991218973862,2.7081399769538392,2.9309031645666477,0.0318774611823535,158291370.94626886
1999-08,0.0,0.0,0.0015252077781775348,0.0012133853533422845,3499164.8148173215,0.00595572931593641,0.002409912669079665,6990502.884693059,0.1627994769361371,1.227037053,2.9408978275025257,0.03171202710762255,153351773.85461047
1999-09,0.0,0.0006085154269383095,0.0027638333368338237,0.0036945652694351395,3500000.0,0.009078437402080131,0.007329594097521244,6985969.8828476425,0.19200598397928229,1.2188336154269386,3.0854259196666014,0.030722430290468335,148100234.84023407
1999-10,0.013715210718068539,0.011172938195792511,0.0037984683775364736,0.014971406573328986,3500000.0,0.010721755614723324,0.029675211984060337,7000000.0,0.2291394016315129,1.1607179019138611,3.194431542744419,0.02967033915887297,142127300.03890052
1999-11,0.0,0.0,0.004969853588418336,0.002807505678446634,3494395.194217353,0.015524622993655353,0.005576005581709922,6974213.183668237,0.25294640226109316,1.2130340000000002,2.2140377055925016,0.028473723896779834,138956009.21100354
1999-12,0.0,0.0,0.004122001456772828,0.0011285579123812017,3486377.5550280544,0.005463458740999095,0.002236761144663795,6965570.796826213,0.2957687011580947,1.9946963530000001,2.354372658186835,0.027838388817557094,137250258.39900035
