,ZONE_1,ZONE_2,ZONE_3,ZONE_4
1994-04-01,0.0,0.0,0.0006085581691176803,0.8332448097511573
1994-05-01,0.0,0.0,0.000579059256447686,0.8387357132523148
1994-06-01,0.0,0.0,0.000536555184258355,0.8550864438657407
1994-07-01,0.0,0.0,0.000495568072354352,0.8762163628472222
1994-08-01,0.0,0.0,0.0004656892794149893,0.9075786675347222
1994-09-01,0.0,0.0,0.00047087762090894906,0.9519106264467592
1994-10-01,0.0,0.0,0.0004861527460592764,0.9934441008391203
1994-11-01,0.0,0.0,0.0005080232796845612,1.032889992042824
1994-12-01,0.0,0.0,0.0008419241728606047,1.0579258897569443
1995-01-01,0.0,0.0,0.0004734558529324002,1.0672554976851851
1995-02-01,0.0,0.0,0.00047249873479207356,1.0789119466145833
1995-03-01,0.0,0.0,0.00042456079412389684,1.064830005787037
1995-04-01,0.0,0.0,0.00036669510382193103,1.0502071578414351
1995-05-01,0.0,0.0,0.00030243180416248463,1.032240849247685
1995-06-01,0.0,0.0,0.00025604223763501204,1.0295682327835647
1995-07-01,0.0,0.0,0.00023633387353685166,1.0365062572337962
1995-08-01,0.0,0.0,0.0005644002225663927,1.0549895109953704
1995-09-01,0.0,0.0,0.0002495263682471381,1.0897923900462962
1995-10-01,0.0,0.0,0.000642634144535771,1.123487232349537
1995-11-01,0.0,0.0,0.0006611581643422445,1.1592482277199074
1995-12-01,0.0,0.0,0.0006873254864304154,1.1800693540219906
1996-01-01,0.0,0.0,0.0006898561671928123,1.1835144495081018
1996-02-01,0.0,0.0,0.0006865277113737883,1.192023021556713
1996-03-01,0.0,0.0,0.0006514876860159414,1.170298755787037
1996-04-01,0.0,0.0,0.0002814483863336068,1.1499984628182869
1996-05-01,0.0,0.0,0.00025039162900712756,1.128358742042824
1996-06-01,0.0,0.0,0.00022325650409415915,1.1221638997395833
1996-07-01,0.0,0.0,0.0002190278415326719,1.127612575954861
1996-08-01,0.0,0.0,0.00023649957444932726,1.1467362919560184
1996-09-01,0.0,0.0,0.0006047549954167118,1.1818181242766204
1996-10-01,0.0,0.0,0.0006206265643790916,1.2155707465277776
1996-11-01,0.0,0.0,0.0006662916254114221,1.2498274739583333
1996-12-01,0.0,0.0,0.0006953311849523474,1.2699061414930555
1997-01-01,0.0,0.0,0.0007004472061439797,1.2722269241898148
1997-02-01,0.0,0.0,0.0006997953079364918,1.2771076569733795
1997-03-01,0.0,0.0,0.0006655861713268139,1.2543607132523147
1997-04-01,0.0,0.0,0.000618380793818721,1.2310108326099536
1997-05-01,0.0,0.0,0.0005562708995960376,1.207416087962963
1997-06-01,0.0,0.0,0.0005408826139238146,1.2461888744212963
1997-07-01,0.0,0.0,0.00021345652915813303,1.2361338975694445
1997-08-01,0.0,0.0,0.0006061123035572193,1.3151362666377313
1997-09-01,0.0,0.0,0.0003131731571974578,1.3328618706597222
1997-10-01,0.0,0.0,0.0003943322322986744,1.3145039424189815
1997-11-01,0.0,0.0,0.0004624247109448468,1.3627478479456019
1997-12-01,0.0,0.0,0.00021399358908335368,1.1924310980902777
1998-01-01,0.0,0.0,0.00026692260194707796,1.2235240342881943
1998-02-01,0.0,0.0,0.0006100837389628092,1.3129316767939814
1998-03-01,0.0,0.0,0.0005630247239713315,1.3631488715277778
1998-04-01,0.0,0.0,0.0005110399811356156,1.3835341616030092
1998-05-01,0.0,0.0,0.00045438333793922705,1.3697036856192129
1998-06-01,0.0,0.0,0.00042439253241927533,1.354695095486111
1998-07-01,0.0,0.0,0.0004130859286696822,1.3478290473090278
1998-08-01,0.0,0.0,0.00042451946823685255,1.3570374891493056
1998-09-01,0.0,0.0,0.000467752527307581,1.391790455005787
1998-10-01,0.0,0.0,0.0005185197900842737,1.4238409649884258
1998-11-01,0.0,0.0,0.0005728563555964717,1.4548960141782408
1998-12-01,0.0,0.0,0.0006005137938040274,1.4710036892361111
1999-01-01,0.0,0.0,0.000600182745191786,1.4667815031828704
1999-02-01,0.0,0.0,0.0005993543289325856,1.4648285590277776
1999-03-01,0.0,0.0,0.0005621660197222675,1.435291431568287
1999-04-01,0.0,0.0,0.0005125668755284062,1.4070555736400463
1999-05-01,0.0,0.0,0.000456228874347828,1.3766027379918981
1999-06-01,0.0,0.0,0.0004230028611642343,1.3672491681134258
1999-07-01,0.0,0.0,0.00041011991324248133,1.3666531937210646
1999-08-01,0.0,0.0,0.00041482369105021156,1.3848763020833332
1999-09-01,0.0,0.0,0.00045000729737458404,1.4216758897569444
1999-10-01,0.0,0.0,0.0004943811451947247,1.4588178168402777
1999-11-01,0.0,0.0,0.000541153174859506,1.4939664713541665
1999-12-01,0.0,0.0,0.0005687754684024387,1.5088133861400461
2000-01-01,0.0,0.0,0.0005684574003572817,1.5058621780960648
2000-02-01,0.0,0.0,0.0005633479136007803,1.5083035843460648
2000-03-01,0.0,0.0,0.0005208432674407959,1.4759851526331018
2000-04-01,0.0,0.0,0.0004665901042796947,1.4509936523437499
2000-05-01,0.0,0.0,0.00040908473509329335,1.426103786892361
2000-06-01,0.0,0.0,0.00038227169602005566,1.4352157479745369
2000-07-01,0.0,0.0,0.00037433430000587744,1.429975857204861
2000-08-01,0.0,0.0,0.000389148924085829,1.4371977177372683
2000-09-01,0.0,0.0,0.00043487645961620187,1.480328595196759
2000-10-01,0.0,0.0,0.00048119037239639843,1.5216399016203703
2000-11-01,0.0,0.0,0.0005292112297481961,1.5529739945023147
2000-12-01,0.0,0.0,0.0005600212238453052,1.5671216724537036
2001-01-01,0.0,0.0,0.0005609360006120469,1.564175708912037
