,ZONE_1,ZONE_2,ZONE_3,ZONE_4
2002-07-01,0.0,0.0,0.0,0.24048633716724535
2002-08-01,0.0,0.0,0.0,0.24119079589843748
2002-09-01,0.0,0.0,0.0,0.23771751121238424
2002-10-01,0.0,0.0,0.0,0.23851533112702544
2002-11-01,0.0,0.0,0.0,0.24504794650607636
2002-12-01,0.0,0.0,0.0,0.27618281611689816
2003-01-01,0.0,0.0,0.0,0.27123691134982636
2003-02-01,0.0,0.0,0.0,0.2957307942708333
2003-03-01,0.0,0.0,0.0,0.2648127803096065
2003-04-01,0.0,0.0,0.0,0.26987065067997684
2003-05-01,0.0,0.0,0.0,0.277959730360243
2003-06-01,0.0,0.0,0.0,0.28267383716724537
2003-07-01,0.0,0.0,0.0,0.28133732548466434
2003-08-01,0.0,0.0,0.0,0.2746841769748264
2003-09-01,0.0,0.0,0.0,0.26439014576099534
2003-10-01,0.0,0.0,0.0,0.2573169171368634
2003-11-01,0.0,0.0,0.0,0.2550960286458333
2003-12-01,0.0,0.0,0.0,0.2568539993851273
2004-01-01,0.0,0.0,0.0,0.2589163094979745
2004-02-01,0.0,0.0,0.0,0.2623203305844907
2004-03-01,0.0,0.0,0.0,0.2686242449725116
2004-04-01,0.0,0.0,0.0,0.2821780734592014
2004-05-01,0.0,0.0,0.0,0.28922706886574073
2004-06-01,0.0,0.0,0.0,0.2918608940972222
2004-07-01,0.0,0.0,0.0,0.2865820990668403
2004-08-01,0.0,0.0,0.0,0.28383269133391203
2004-09-01,0.0,0.0,0.0,0.27625775372540506
2004-10-01,0.0,0.0,0.0,0.27069412796585646
2004-11-01,0.0,0.0,0.0,0.26565149377893515
2004-12-01,0.0,0.0,0.0,0.2647549099392361
2005-01-01,0.0,0.0,0.0,0.26649481879340275
2005-02-01,0.0,0.0,0.0,0.26723411277488424
2005-03-01,0.0,0.0,0.0,0.2737635633680555
2005-04-01,0.0,0.0,0.0,0.2802086498119213
2005-05-01,0.0,0.0,0.0,0.2877400490089699
2005-06-01,0.0,0.0,0.0,0.29069654676649304
2005-07-01,0.0,0.0,0.0,0.2897400580512153
2005-08-01,0.0,0.0,0.0,0.2850624593098958
2005-09-01,0.0,0.0,0.0,0.27765733506944446
2005-10-01,0.0,0.0,0.0,0.2723076940465856
2005-11-01,0.0,0.0,0.0,0.26717481825086803
2005-12-01,0.0,0.0,0.0,0.26568504050925923
2006-01-01,0.0,0.0,0.0,0.2671665219907407
2006-02-01,0.0,0.0,0.0,0.2677039252387153
2006-03-01,0.0,0.0,0.0,0.2741258409288194
2006-04-01,0.0,0.0,0.0,0.28040210865162035
2006-05-01,0.0,0.0,0.0,0.2878609890407986
2006-06-01,0.0,0.0,0.0,0.29082001862702545
2006-07-01,0.0,0.0,0.0,0.2901123951099537
2006-08-01,0.0,0.0,0.0,0.2865422453703704
2006-09-01,0.0,0.0,0.0,0.2790631329571759
2006-10-01,0.0,0.0,0.0,0.273314525462963
2006-11-01,0.0,0.0,0.0,0.26805584942853006
2006-12-01,0.0,0.0,0.0,0.2665115921585648
2007-01-01,0.0,0.0,0.0,0.2679793746383102
2007-02-01,0.0,0.0,0.0,0.26850285282841435
2007-03-01,0.0,0.0,0.0,0.2749758798104745
2007-04-01,0.0,0.0,0.0,0.28123600712528934
2007-05-01,0.0,0.0,0.0,0.2890468343098958
2007-06-01,0.0,0.0,0.0,0.29168707953559025
2007-07-01,0.0,0.0,0.0,0.29144110785590277
2007-08-01,0.0,0.0,0.0,0.28772153501157405
2007-09-01,0.0,0.0,0.0,0.2800278953269676
2007-10-01,0.0,0.0,0.0,0.2741117124204282
2007-11-01,0.0,0.0,0.0,0.26869043420862265
2007-12-01,0.0,0.0,0.0,0.26704273365162035
2008-01-01,0.0,0.0,0.0,0.2685170265480324
2008-02-01,0.0,0.0,0.0,0.2689902072482639
2008-03-01,0.0,0.0,0.0,0.2754382550274884
2008-04-01,0.0,0.0,0.0,0.2816791901765046
2008-05-01,0.0,0.0,0.0,0.28886314109519673
2008-06-01,0.0,0.0,0.0,0.2907541458695023
2008-07-01,0.0,0.0,0.0,0.2887874801070602
2008-08-01,0.0,0.0,0.0,0.28562594943576386
2008-09-01,0.0,0.0,0.0,0.2777469437210648
2008-10-01,0.0,0.0,0.0,0.27209242078993057
2008-11-01,0.0,0.0,0.0,0.26669910572193284
2008-12-01,0.0,0.0,0.0,0.26508628562644676
2009-01-01,0.0,0.0,0.0,0.2665322536892361
2009-02-01,0.0,0.0,0.0,0.2670232250072338
2009-03-01,0.0,0.0,0.0,0.2734464066116898
2009-04-01,0.0,0.0,0.0,0.27964210792824074
2009-05-01,0.0,0.0,0.0,0.28720569751880787
2009-06-01,0.0,0.0,0.0,0.2899772813585069
2009-07-01,0.0,0.0,0.0,0.28931959364149307
2009-08-01,0.0,0.0,0.0,0.2857457817925347
2009-09-01,0.0,0.0,0.0,0.27807963053385415
2009-10-01,0.0,0.0,0.0,0.27231061017071756
2009-11-01,0.0,0.0,0.0,0.2669159613715278
2009-12-01,0.0,0.0,0.0,0.2652807843243634
2010-01-01,0.0,0.0,0.0,0.2667506013093171
2010-02-01,0.0,0.0,0.0,0.26723551432291665
2010-03-01,0.0,0.0,0.0,0.27369906955295137
2010-04-01,0.0,0.0,0.0,0.2798209183304398
2010-05-01,0.0,0.0,0.0,0.2823751491970486
2010-06-01,0.0,0.0,0.0,0.28556193033854166
2010-07-01,0.0,0.0,0.0,0.28516056767216436
2010-08-01,0.0,0.0,0.0,0.28133199055989583
2010-09-01,0.0,0.0,0.0,0.27359824851707176
2010-10-01,0.0,0.0,0.0,0.2682565420645254
2010-11-01,0.0,0.0,0.0,0.2630794044777199
2010-12-01,0.0,0.0,0.0,0.2615738480179398
2011-01-01,0.0,0.0,0.0,0.26300299750434025
2011-02-01,0.0,0.0,0.0,0.26354514793113426
2011-03-01,0.0,0.0,0.0,0.2699447292751736
2011-04-01,0.0,0.0,0.0,0.27618898744936343
2011-05-01,0.0,0.0,0.0,0.28342206036603007
2011-06-01,0.0,0.0,0.0,0.2832723659939236
2011-07-01,0.0,0.0,0.0,0.28019795735677083
2011-08-01,0.0,0.0,0.0,0.2777709056712963
2011-09-01,0.0,0.0,0.0,0.27081136067708333
2011-10-01,0.0,0.0,0.0,0.2654163501880787
2011-11-01,0.0,0.0,0.0,0.2605062301070602
2011-12-01,0.0,0.0,0.0,0.2590574363425926
2012-01-01,0.0,0.0,0.0,0.2604986572265625
2012-02-01,0.0,0.0,0.0,0.2610656512225116
2012-03-01,0.0,0.0,0.0,0.26742377387152777
2012-04-01,0.0,0.0,0.0,0.2733806694878472
2012-05-01,0.0,0.0,0.0,0.2804560908564815
2012-06-01,0.0,0.0,0.0,0.283198988172743
2012-07-01,0.0,0.0,0.0,0.2831359185112847
2012-08-01,0.0,0.0,0.0,0.27973481354890045
2012-09-01,0.0,0.0,0.0,0.272564855504919
2012-10-01,0.0,0.0,0.0,0.2671319806134259
2012-11-01,0.0,0.0,0.0,0.262020421911169
2012-12-01,0.0,0.0,0.0,0.2605315031828704
2013-01-01,0.0,0.0,0.0,0.26206079553674766
2013-02-01,0.0,0.0,0.0,0.26262647840711806
2013-03-01,0.0,0.0,0.0,0.2691134756582754
2013-04-01,0.0,0.0,0.0,0.2753784405743634
2013-05-01,0.0,0.0,0.0,0.28019447609230325
2013-06-01,0.0,0.0,0.0,0.28313881202980323
2013-07-01,0.0,0.0,0.0,0.28247233072916667
2013-08-01,0.0,0.0,0.0,0.2793581588179977
2013-09-01,0.0,0.0,0.0,0.27223885995370367
2013-10-01,0.0,0.0,0.0,0.26679420753761574
2013-11-01,0.0,0.0,0.0,0.26160999439380783
2013-12-01,0.0,0.0,0.0,0.26012602629484954
2014-01-01,0.0,0.0,0.0,0.2616711651837384
2014-02-01,0.0,0.0,0.0,0.26223347981770834
2014-03-01,0.0,0.0,0.0,0.2687119095413773
2014-04-01,0.0,0.0,0.0,0.2749553765190972
2014-05-01,0.0,0.0,0.0,0.28162412290219907
2014-06-01,0.0,0.0,0.0,0.2826809805410879
2014-07-01,0.0,0.0,0.0,0.28275354456018514
2014-08-01,0.0,0.0,0.0,0.27944010416666665
2014-09-01,0.0,0.0,0.0,0.27165165653935186
2014-10-01,0.0,0.0,0.0,0.2663167091652199
2014-11-01,0.0,0.0,0.0,0.26111942997685184
2014-12-01,0.0,0.0,0.0,0.2596382197627315
2015-01-01,0.0,0.0,0.0,0.26116466380931713
2015-02-01,0.0,0.0,0.0,0.26171890823929395
2015-03-01,0.0,0.0,0.0,0.2651062463831018
2015-04-01,0.0,0.0,0.0,0.27176737467447915
2015-05-01,0.0,0.0,0.0,0.27852771900318285
2015-06-01,0.0,0.0,0.0,0.28120820222077547
2015-07-01,0.0,0.0,0.0,0.2785591634114583
2015-08-01,0.0,0.0,0.0,0.2717840576171875
2015-09-01,0.0,0.0,0.0,0.26585749873408565
2015-10-01,0.0,0.0,0.0,0.2603412091290509
2015-11-01,0.0,0.0,0.0,0.25581167715567127
2015-12-01,0.0,0.0,0.0,0.2544276032624421
2016-01-01,0.0,0.0,0.0,0.2558693214699074
2016-02-01,0.0,0.0,0.0,0.25646427860966436
2016-03-01,0.0,0.0,0.0,0.25973522044994213
2016-04-01,0.0,0.0,0.0,0.26637717918113424
2016-05-01,0.0,0.0,0.0,0.27316116898148146
2016-06-01,0.0,0.0,0.0,0.2755713794849537
2016-07-01,0.0,0.0,0.0,0.2733298294632523
2016-08-01,0.0,0.0,0.0,0.2669865134910301
2016-09-01,0.0,0.0,0.0,0.2613205747251157
2016-10-01,0.0,0.0,0.0,0.25622450086805554
2016-11-01,0.0,0.0,0.0,0.2519602005570023
2016-12-01,0.0,0.0,0.0,0.2506447120949074
2017-01-01,0.0,0.0,0.0,0.2520770489728009
2017-02-01,0.0,0.0,0.0,0.2527401394314236
2017-03-01,0.0,0.0,0.0,0.25607426396122684
2017-04-01,0.0,0.0,0.0,0.262709802698206
2017-05-01,0.0,0.0,0.0,0.26946784125434026
2017-06-01,0.0,0.0,0.0,0.2719054271556713
2017-07-01,0.0,0.0,0.0,0.2697491681134259
2017-08-01,0.0,0.0,0.0,0.2636605495876736
2017-09-01,0.0,0.0,0.0,0.25819776746961803
2017-10-01,0.0,0.0,0.0,0.2531966145833333
2017-11-01,0.0,0.0,0.0,0.2492043954354745
2017-12-01,0.0,0.0,0.0,0.24792039659288193
2018-01-01,0.0,0.0,0.0,0.24924363878038194
2018-02-01,0.0,0.0,0.0,0.249955896448206
2018-03-01,0.0,0.0,0.0,0.2533338306568287
2018-04-01,0.0,0.0,0.0,0.25998087565104167
2018-05-01,0.0,0.0,0.0,0.266694652416088
2018-06-01,0.0,0.0,0.0,0.2691829201027199
2018-07-01,0.0,0.0,0.0,0.2670383255570023
2018-08-01,0.0,0.0,0.0,0.26112417715567127
2018-09-01,0.0,0.0,0.0,0.25571623625578704
2018-10-01,0.0,0.0,0.0,0.25077720359519673
2018-11-01,0.0,0.0,0.0,0.2469126609519676
2018-12-01,0.0,0.0,0.0,0.24565242060908563
2019-01-01,0.0,0.0,0.0,0.24690601490162037
2019-02-01,0.0,0.0,0.0,0.24764261881510416
2019-03-01,0.0,0.0,0.0,0.2510470694082754
2019-04-01,0.0,0.0,0.0,0.25164697717737267
2019-05-01,0.0,0.0,0.0,0.2493986454716435
2019-06-01,0.0,0.0,0.0,0.25158564814814816
2019-07-01,0.0,0.0,0.0,0.2504198088469329
2019-08-01,0.0,0.0,0.0,0.25265270091869213
2019-09-01,0.0,0.0,0.0,0.254172205041956
2019-10-01,0.0,0.0,0.0,0.2537710006148727
2019-11-01,0.0,0.0,0.0,0.25464638038917825
2019-12-01,0.0,0.0,0.0,0.2556668882016782
2020-01-01,0.0,0.0,0.0,0.2533961769386574
2020-02-01,0.0,0.0,0.0,0.2588066044560185
2020-03-01,0.0,0.0,0.0,0.26169395164207176
2020-04-01,0.0,0.0,0.0,0.2607196044921875
2020-05-01,0.0,0.0,0.0,0.26221094202112266
2020-06-01,0.0,0.0,0.0,0.266800220630787
2020-07-01,0.0,0.0,0.0,0.2601297788266782
2020-08-01,0.0,0.0,0.0,0.2586080367476852
2020-09-01,0.0,0.0,0.0,0.25959994845920137
2020-10-01,0.0,0.0,0.0,0.25394431785300925
2020-11-01,0.0,0.0,0.0,0.26307020399305553
2020-12-01,0.0,0.0,0.0,0.2577149567780671
2021-01-01,0.0,0.0,0.0,0.2615936505353009
2021-02-01,0.0,0.0,0.0,0.261836683485243
2021-03-01,0.0,0.0,0.0,0.2643540219907407
2021-04-01,0.0,0.0,0.0,0.25941609700520835
2021-05-01,0.0,0.0,0.0,0.265103759765625
2021-06-01,0.0,0.0,0.0,0.25879136827256943
2021-07-01,0.0,0.0,0.0,0.2584978569878472
2021-08-01,0.0,0.0,0.0,0.26584538212528935
2021-09-01,0.0,0.0,0.0,0.25926780418113426
2021-10-01,0.0,0.0,0.0,0.2589441822193287
2021-11-01,0.0,0.0,0.0,0.2546178747106481
2021-12-01,0.0,0.0,0.0,0.2540604881004051
2022-01-01,0.0,0.0,0.0,0.2547739212601273
2022-02-01,0.0,0.0,0.0,0.25182490596064816
2022-03-01,0.0,0.0,0.0,0.25605660897714116
