"Transmission Link","Transmission Link from AC1 to EVT1","Transmission Link from AC2 to EVT2","Transmission Link from Embalse Santa Juana to DDAEmbalse","Transmission Link from Withdrawal Node 1 to CanalZR1_1","Transmission Link from Withdrawal Node 16 to CanalZR4_2","Transmission Link from Withdrawal Node 17 to CanalZR4_1","Transmission Link from Withdrawal Node 2 to CanalZR1_2","Transmission Link from Withdrawal Node 22 to CanalZR5","Transmission Link from Withdrawal Node 23 to ZR5_notec","Transmission Link from Withdrawal Node 24 to ZR5_tec","Transmission Link from Withdrawal Node 29 to CanalZR8","Transmission Link from Withdrawal Node 7 to CanalZR2_1","All Others (59)"
"1 Jul 1997",2.12412,1.36023,0.00162196,0.627248,0.434252,0.278134,0.341343,2.05269,0.706623,0.363617,0.690697,1.43254,2.62133
"1 Aug 1997",4.02512,2.45014,0.324855,0.760761,0.541107,0.471611,0.414,3.48059,0,0,1.52674,1.73746,2.55954
"1 Sep 1997",6.02467,3.77136,1.36564E-5,0.78612,0.527183,0.458489,0.4278,3.38375,1.13885,0.586034,1.25264,1.79538,4.48625
"1 Oct 1997",6.09838,3.79153,0.48303,0.760761,0.705393,0.43337,0.414,3.19837,1.42001,0.730712,1.0762,1.73746,5.12786
"1 Nov 1997",6.68841,5.22189,0.642423,0.78612,0.644324,0.337627,0.4278,2.6225,1.26742,0.652199,0.881422,1.79538,5.951
"1 Dec 1997",8.99669,9.43158,0.796161,0.760761,0.705393,0.614797,0.414,4.53734,2.07872,1.06968,1.52674,1.73746,7.16134
"1 Jan 1998",11.3202,12.1949,0.99547,0.760761,0.705393,0.614797,0.414,4.53734,1.90884,0.982255,1.52674,1.73746,7.09903
"1 Feb 1998",8.70025,11.1226,1.08922,0.842271,0.780971,0.680668,0.458357,5.02348,1.68265,0.865863,1.69032,1.92362,6.84298
"1 Mar 1998",5.19564,7.38124,0.768472,0.760761,0.705393,0.614797,0.414,4.53734,1.37546,0.707787,1.52674,1.73746,5.74854
"1 Apr 1998",4.13637,5.90041,0.71988,0.78612,0.728906,0.63529,0.4278,4.68858,1.06173,0.546349,1.57763,1.79538,4.97186
"1 May 1998",3.15121,4.52551,0.499208,0.697846,0.705393,0.563953,0.379762,4.1621,0.84584,0.435255,1.40048,1.59378,3.89997
"1 Jun 1998",2.73857,3.88255,0.407591,0.671032,0.63216,0.542284,0.36517,4.00217,0.609583,0.313681,1.34666,1.53254,3.53953
"1 Jul 1998",2.34523,3.25222,0.311157,0.601077,0.679029,0.485751,0.327101,3.58495,0.670697,0.34513,1.20628,1.37277,3.25449
"1 Aug 1998",2.09236,2.84707,0.314272,0.533218,0.705366,0.430911,0.290173,3.18022,0.88162,0.453667,1.07009,1.21779,3.371
"1 Sep 1998",1.96768,2.59563,0.406551,0.502095,0.728878,0.40576,0.273236,2.9946,1.1202,0.576436,1.00763,1.14671,4.06578
"1 Oct 1998",1.86831,2.59289,0.455914,0.496321,0.705393,0.401093,0.270094,2.99074,1.47731,0.760197,0.996044,1.13352,5.04381
"1 Nov 1998",1.99908,3.01706,0.686931,0.528351,0.728878,0.426978,0.287524,3.52812,1.75478,0.902981,1.06033,1.20667,5.68747
"1 Dec 1998",2.28622,3.14724,0.740681,0.52523,0.705343,0.424456,0.285826,3.61475,1.76635,0.93954,1.05406,1.21453,6.40315
"1 Jan 1999",2.35504,3.00743,0.904724,0.471748,0.705344,0.381235,0.256721,3.09544,1.48907,0.790012,0.946731,1.13569,6.06072
"1 Feb 1999",2.44565,2.94338,0.941288,0.489275,0.780945,0.3954,0.26626,3.16915,1.54443,0.805597,0.981906,1.12931,5.93516
