Runoff/Infiltration Link,QuebCam,QuebCam2
1 Dec 2008,0.0796524,0.0796524
1 Jan 2009,0.0761985,0.0761985
01-feb-09,0.0805283,0.0805283
01-mar-09,0.068899,0.068899
1 Apr 2009,0.0668356,0.0668356
01-may-09,0.0617611,0.0617611
01-jun-09,0.0611103,0.0611103
01-jul-09,0.0599481,0.0599481
1 Aug 2009,0.0615696,0.0615696
01-sept-09,0.0611339,0.0611339
01-oct-09,0.0561563,0.0561563
01-nov-09,0.0552377,0.0552377
1 Dec 2009,0.0511723,0.0511723
1 Jan 2010,0.0490513,0.0490513
01-feb-10,0.0519573,0.0519573
01-mar-10,0.0445803,0.0445803
1 Apr 2010,0.0443021,0.0443021
01-may-10,0.089403,0.089403
01-jun-10,0.156085,0.156085
01-jul-10,0.158624,0.158624
1 Aug 2010,0.168182,0.168182
01-sept-10,0.188483,0.188483
01-oct-10,0.184384,0.184384
01-nov-10,0.181671,0.181671
1 Dec 2010,0.167269,0.167269
1 Jan 2011,0.159223,0.159223
01-feb-11,0.167505,0.167505
01-mar-11,0.14282,0.14282
1 Apr 2011,0.138301,0.138301
01-may-11,0.125133,0.125133
01-jun-11,0.145659,0.145659
01-jul-11,0.192381,0.192381
1 Aug 2011,0.233254,0.233254
01-sept-11,0.245423,0.245423
01-oct-11,0.229259,0.229259
01-nov-11,0.227037,0.227037
1 Dec 2011,0.208603,0.208603
1 Jan 2012,0.198058,0.198058
01-feb-12,0.200582,0.200582
01-mar-12,0.176421,0.176421
1 Apr 2012,0.180478,0.180478
01-may-12,0.172328,0.172328
01-jun-12,0.165898,0.165898
01-jul-12,0.149788,0.149788
1 Aug 2012,0.142229,0.142229
01-sept-12,0.1405,0.1405
01-oct-12,0.128626,0.128626
01-nov-12,0.126101,0.126101
1 Dec 2012,0.116329,0.116329
1 Jan 2013,0.110991,0.110991
01-feb-13,0.117018,0.117018
01-mar-13,0.0999597,0.0999597
1 Apr 2013,0.0969823,0.0969823
01-may-13,0.115463,0.115463
01-jun-13,0.145301,0.145301
01-jul-13,0.142968,0.142968
1 Aug 2013,0.142871,0.142871
01-sept-13,0.140717,0.140717
01-oct-13,0.128679,0.128679
01-nov-13,0.126191,0.126191
1 Dec 2013,0.116463,0.116463
1 Jan 2014,0.111163,0.111163
01-feb-14,0.117283,0.117283
01-mar-14,0.100277,0.100277
