Date,ZONE_1,ZONE_2,ZONE_3,ZONE_4
1994-04-01,0.0,0.0,52.57942581176758,47977.59375
1994-05-01,0.0,0.0,50.03071975708008,45897.640625
1994-06-01,0.0,0.0,46.358367919921875,46429.376953125
1994-07-01,0.0,0.0,42.817081451416016,47849.65234375
1994-08-01,0.0,0.0,40.23555374145508,50996.9765625
1994-09-01,0.0,0.0,40.6838264465332,55963.001953125
1994-10-01,0.0,0.0,42.003597259521484,60334.87890625
1994-11-01,0.0,0.0,43.893211364746094,65121.4609375
1994-12-01,0.0,0.0,72.74224853515625,67784.48828125
1995-01-01,0.0,0.0,40.906585693359375,67637.341796875
1995-02-01,0.0,0.0,40.823890686035156,69110.080078125
1995-03-01,0.0,0.0,36.68205261230469,66845.51171875
1995-04-01,0.0,0.0,31.682456970214844,64664.2109375
1995-05-01,0.0,0.0,26.130107879638672,62285.025390625
1995-06-01,0.0,0.0,22.12204933166504,61795.1953125
1995-07-01,0.0,0.0,20.419246673583984,62473.671875
1995-08-01,0.0,0.0,48.76417922973633,65456.5625
1995-09-01,0.0,0.0,21.559078216552734,69224.837890625
1995-10-01,0.0,0.0,55.523590087890625,73163.84375
1995-11-01,0.0,0.0,57.12406539916992,77021.34765625
1995-12-01,0.0,0.0,59.38492202758789,79332.421875
1996-01-01,0.0,0.0,59.603572845458984,79306.271484375
1996-02-01,0.0,0.0,59.31599426269531,80583.64453125
1996-03-01,0.0,0.0,56.288536071777344,77791.453125
1996-04-01,0.0,0.0,24.317140579223633,74998.013671875
1996-05-01,0.0,0.0,21.63383674621582,72198.828125
1996-06-01,0.0,0.0,19.28936195373535,71636.953125
1996-07-01,0.0,0.0,18.92400550842285,72215.77734375
1996-08-01,0.0,0.0,20.433563232421875,74402.248046875
1996-09-01,0.0,0.0,52.250831604003906,78445.4609375
1996-10-01,0.0,0.0,53.622135162353516,82173.923828125
1996-11-01,0.0,0.0,57.567596435546875,85879.55859375
1996-12-01,0.0,0.0,60.07661437988281,88322.55859375
1997-01-01,0.0,0.0,60.518638610839844,88345.94921875
1997-02-01,0.0,0.0,60.46231460571289,88822.41796875
1997-03-01,0.0,0.0,57.50664520263672,86118.6328125
1997-04-01,0.0,0.0,53.4281005859375,83317.099609375
1997-05-01,0.0,0.0,48.061805725097656,80863.599609375
1997-06-01,0.0,0.0,46.73225784301758,85475.333984375
1997-07-01,0.0,0.0,18.442644119262695,83214.7890625
1997-08-01,0.0,0.0,52.36810302734375,92275.916015625
1997-09-01,0.0,0.0,27.05816078186035,93048.267578125
1997-10-01,0.0,0.0,34.07030487060547,87133.576171875
1997-11-01,0.0,0.0,39.953495025634766,93728.650390625
1997-12-01,0.0,0.0,18.489046096801758,71036.09375
1998-01-01,0.0,0.0,23.06211280822754,75723.134765625
1998-02-01,0.0,0.0,52.71123504638672,86995.99609375
1998-03-01,0.0,0.0,48.64533615112305,93884.9921875
1998-04-01,0.0,0.0,44.15385437011719,96794.005859375
1998-05-01,0.0,0.0,39.25872039794922,96097.28125
1998-06-01,0.0,0.0,36.66751480102539,94791.23046875
1998-07-01,0.0,0.0,35.69062423706055,94167.923828125
1998-08-01,0.0,0.0,36.67848205566406,95095.32421875
1998-09-01,0.0,0.0,40.413818359375,99254.935546875
1998-10-01,0.0,0.0,44.80010986328125,102719.974609375
1998-11-01,0.0,0.0,49.494789123535156,105762.1796875
1998-12-01,0.0,0.0,51.88439178466797,107599.166015625
1999-01-01,0.0,0.0,51.85578918457031,107040.03515625
1999-02-01,0.0,0.0,51.78421401977539,106648.244140625
1999-03-01,0.0,0.0,48.571144104003906,103322.802734375
1999-04-01,0.0,0.0,44.2857780456543,100462.3359375
1999-05-01,0.0,0.0,39.418174743652344,97236.220703125
1999-06-01,0.0,0.0,36.547447204589844,96139.69140625
1999-07-01,0.0,0.0,35.43436050415039,95952.224609375
1999-08-01,0.0,0.0,35.84076690673828,98249.54296875
1999-09-01,0.0,0.0,38.88063049316406,102153.720703125
1999-10-01,0.0,0.0,42.71453094482422,106078.443359375
1999-11-01,0.0,0.0,46.75563430786133,109680.515625
1999-12-01,0.0,0.0,49.1422004699707,111037.794921875
2000-01-01,0.0,0.0,49.11471939086914,110590.96875
2000-02-01,0.0,0.0,48.67325973510742,110783.53125
2000-03-01,0.0,0.0,45.000858306884766,107352.2734375
2000-04-01,0.0,0.0,40.313385009765625,104717.19921875
2000-05-01,0.0,0.0,35.34492111206055,101967.251953125
2000-06-01,0.0,0.0,33.02827453613281,103036.890625
2000-07-01,0.0,0.0,32.34248352050781,102056.080078125
2000-08-01,0.0,0.0,33.622467041015625,101935.033203125
2000-09-01,0.0,0.0,37.573326110839844,107326.45703125
2000-10-01,0.0,0.0,41.57484817504883,112127.98828125
2000-11-01,0.0,0.0,45.72385025024414,115134.740234375
2000-12-01,0.0,0.0,48.385833740234375,116458.98828125
2001-01-01,0.0,0.0,48.46487045288086,116115.23828125
2001-02-01,0.0,0.0,48.141963958740234,115897.4453125
2001-03-01,0.0,0.0,44.54063034057617,112806.2421875
2001-04-01,0.0,0.0,39.9629020690918,109601.93359375
2001-05-01,0.0,0.0,34.837791442871094,106196.953125
2001-06-01,0.0,0.0,31.5855712890625,105255.11328125
2001-07-01,0.0,0.0,30.150415420532227,105286.623046875
2001-08-01,0.0,0.0,30.266630172729492,107521.80078125
2001-09-01,0.0,0.0,33.80828094482422,110905.49609375
2001-10-01,0.0,0.0,38.07803726196289,113966.080078125
2001-11-01,0.0,0.0,42.53865051269531,117490.576171875
