Date,03022001-3,03041002-5,03041005-K,03404001-K,03414001-4,03421001-2,03430001-1,03430003-8,03431001-7,03453001-7,03802001-3,03804002-2,03806001-5,03814003-5,03815002-2,03820001-1,03820003-8,04301002-6,04302001-3,04308001-6
1986-04-01,0.6255093742232849,0.05379999999999999,0.2264,0.7407333333333334,1.405749996879602,0.4773824209487078,0.2958333333333333,2.230666666666667,2.326,0.1072333333333333,1.716666666666667,2.853,2.987333333333333,2.190866342552456,1.772848390227635,4.659333333333334,5.225666666666667,0.5391333333333334,0.4890333333333333,3.472333333333333
1986-05-01,0.6495483870967742,0.05970967741935484,0.2114516129032258,0.8248064516129032,1.351612903225806,0.4787547732681823,0.2342258064516129,2.383548387096774,2.570645161290323,0.1286774193548387,1.694516129032258,3.018064516129032,3.511612903225807,2.329418428726623,1.97408574583369,5.436129032258065,4.317625961816196,0.25,0.591741935483871,3.537096774193548
1986-06-01,0.5924833333333333,0.05956666666666666,0.2071,0.8853000000000001,1.449666666666667,0.3705276531740322,0.2473103448275862,2.446333333333333,2.632666666666667,0.1956666666666667,1.694666666666667,2.933,3.413666666666666,2.168106213324113,1.718552663337163,4.722,3.71447098297823,0.25,0.62,3.515333333333333
1986-07-01,0.6106451612903225,0.03638709677419354,0.2384838709677419,0.8887096774193549,1.472903225806452,0.5394137931034483,0.2345483870967742,2.293870967741936,2.446451612903226,0.1850967741935484,1.636774193548387,2.916129032258065,3.067741935483871,2.144504451838305,2.018286713206902,5.337096774193548,4.355915254789806,0.25,0.5947096774193549,3.492258064516129
1986-08-01,0.6547419354838709,0.03741935483870968,0.2448709677419355,0.9552903225806452,1.37258064516129,0.5590322580645162,0.6041612903225806,2.379032258064516,2.747741935483871,0.1754193548387097,1.717037037037037,3.104516129032258,3.176451612903226,2.250476815369051,2.00686136774548,5.836774193548387,5.772800476657267,0.2501612903225807,0.4374516129032258,3.489032258064516
1986-09-01,0.6619333333333334,0.04013333333333333,0.2412333333333333,0.8371999999999999,1.1713,0.5628666666666666,1.506666666666667,2.226333333333334,3.120666666666667,0.1577333333333333,1.3723,2.640666666666667,2.416333333333333,2.098545826697401,1.557937791094817,4.289333333333333,4.012221630037578,2.2475,0.4718666666666667,5.243333333333334
1986-10-01,0.6868387096774193,0.03619354838709678,0.2613103448275862,0.8148709677419355,0.9037741935483871,0.530483870967742,1.486129032258064,1.800645161290322,2.933548387096774,0.1254193548387097,2.314516129032258,3.194838709677419,2.940322580645161,1.239928754988438,1.710419962291407,4.350967741935484,4.187609103370175,3.528709677419355,0.5055161290322581,6.060322580645161
1986-11-01,0.6310666666666667,0.05723333333333334,0.2405357142857143,0.6875666666666667,0.7869333333333334,0.4683,1.473,1.462,2.775333333333334,0.1108333333333333,2.560333333333333,3.820333333333333,3.367333333333333,2.521322132673832,2.844878925584378,4.903,4.875480526506204,3.480333333333333,0.6277666666666666,6.958666666666667
1986-12-01,0.5852258064516129,0.05029032258064516,0.2467586206896552,0.5774193548387097,2.097258064516129,0.4701612903225806,1.590322580645161,2.530645161290323,2.786774193548387,0.0765483870967742,2.526774193548387,5.121612903225807,4.252258064516129,3.178141359006923,2.897863317156363,7.957741935483871,7.041391211743653,1.010838709677419,1.32641935483871,6.779032258064516
1987-01-01,0.5688709677419355,0.0507741935483871,0.2521612903225807,0.4577419354838709,2.685,0.6735483870967741,1.840645161290323,3.281290322580645,3.350322580645161,0.1138709677419355,1.802903225806452,4.579677419354839,4.507741935483871,4.103657335455532,3.534609549846073,8.51,9.123165425811706,6.271612903225806,0.7092258064516129,9.987741935483871
1987-02-01,0.6383928571428571,0.05171428571428571,0.223,0.4758571428571429,2.482916666666667,0.8438260869565218,1.832857142857143,3.385,3.216428571428572,0.09371428571428572,1.927142857142857,3.951923076923077,4.147857142857143,3.862517243208845,3.219226888182879,7.255714285714285,6.242312872496797,5.46,0.5956428571428571,8.352142857142857
1987-03-01,0.6207741935483871,0.06163333333333333,0.2164193548387097,0.535206597573894,2.280967741935484,0.9289032258064516,1.392903225806452,3.302258064516129,3.002258064516129,0.101741935483871,1.967741935483871,3.863571428571429,4.139354838709677,3.2974185350703,2.943082789747458,7.17741935483871,7.297611089437707,4.491935483870968,0.4972580645161291,7.604516129032258
1987-04-01,0.6221666666666666,0.0517,0.213,0.7853907657030008,1.974666666666667,0.7693333333333333,0.8248333333333334,2.888333333333334,2.8,0.1064,1.833666666666667,3.393666666666667,4.107666666666667,2.916419143385755,2.654388816316733,6.540999999999999,5.749948794042435,0.5039666666666667,0.3906,3.927666666666667
1987-05-01,0.596,0.06396774193548388,0.2175483870967742,0.7451429238215284,1.7351062603661,0.7697096774193548,0.2322258064516129,2.838387096774194,2.304516129032258,0.1241935483870968,1.87,4.098709677419355,4.696451612903226,3.037921924504635,2.589065633511394,8.1,6.355718866616249,1.08858064516129,0.4854193548387097,4.570967741935483
1987-06-01,0.5916666666666667,0.0665,0.2072,1.006507432174327,1.689333333333333,0.7801333333333333,0.2503666666666667,2.809666666666666,2.481,0.147,1.765666666666667,3.507,4.157333333333333,2.55347998664419,2.612338581768902,7.057666666666666,5.897455380991574,1.470333333333333,0.5332333333333333,4.729666666666668
1987-07-01,0.62244,0.06493548387096774,0.2032258064516129,0.6163793103448276,1.572451612903226,0.5638709677419355,0.3132903225806452,2.8232,2.89,0.7086774193548386,1.68541935483871,3.422903225806452,4.660322580645161,2.795464401667553,3.324864097688621,7.032258064516129,6.768296942531275,1.292032258064516,0.6289032258064515,4.904193548387097
