Date,Q_AguaV  2 \ Reach,Q_AguaV  4 \ Reach,Q_AS1  2 \ Reach,Q_AS2  2 \ Reach,Q_Cam  2 \ Reach,Q_Chanch  2 \ Reach,Q_DelP  2 \ Reach,Q_Honda  2 \ Reach,Q_Mait  2 \ Reach,Q_S_N_2  2 \ Reach,Q_S_N_3  2 \ Reach,Q_S_N_5  2 \ Reach,Q_S_N_6  2 \ Reach,Q_S_N_7  2 \ Reach,Q_S_N1  2 \ Reach
2000-04-01,4200.69888,13519.699200000001,2502.9907200000002,2502.9907200000002,14656.3776,23332.8384,679.2232319999999,12010.2048,9318.931199999999,4652.7696,821.5499520000001,1819.5926399999998,1864.58976,3273.72192,5214.9312
2000-05-01,4724.352,14627.52,2655.5472,2655.5472,15284.3328,20286.2016,9400.4928,15189.8112,9903.168,4819.1328,6909.61536,11524.1184,1982.1456,3570.0307199999997,5401.71072
2000-06-01,7130.96352,21548.937599999997,3773.8656,3773.8656,21444.48,18969.0336,32150.304,26907.8112,14417.9136,6690.23712,18701.6256,24602.486399999998,2875.1587200000004,5662.9324799999995,7757.0352
2000-07-01,8315.29152,26097.033600000002,4671.06048,4671.06048,27583.977600000002,16714.5984,26587.440000000002,29091.0528,17781.8112,8242.83648,14683.766399999999,17386.0128,3794.5497600000003,8058.70944,10068.192
2000-08-01,8089.130880000001,26650.425600000002,4934.09664,4934.09664,30334.0032,15287.615999999998,11192.8608,25129.6128,18561.311999999998,8712.489599999999,6761.42208,8616.1968,4071.80736,8805.2832,11043.9072
2000-09-01,8110.73088,26766.2016,4960.4313600000005,4960.4313600000005,30579.724800000004,14523.062399999999,7561.831679999999,24543.0432,18655.4016,8871.206400000001,4585.96512,6341.73408,4083.40224,8755.8624,11376.4608
2000-10-01,7397.1273599999995,24588.662399999997,4585.8096,4585.8096,28058.572799999998,31672.079999999998,4085.96832,22155.638400000003,17191.5264,8248.77216,2516.06304,4219.03296,3735.99648,7895.612160000001,10623.139200000001
2000-11-01,7260.736319999999,24107.500799999998,4499.26272,4499.26272,27317.3472,97207.776,3188.4969600000004,21576.931200000003,16846.703999999998,8160.03072,1903.84992,3622.1299200000003,3636.3340799999996,7567.26624,10437.4656
2000-12-01,6717.159360000001,22207.5648,4140.936,4140.936,24988.176,128960.64,2706.32448,19783.7856,15490.3968,7571.90592,1628.73504,3241.00224,3326.13216,6821.582399999999,9579.945600000001
2001-01-01,6421.87008,21134.9088,3934.8028799999997,3934.8028799999997,23650.271999999997,85631.90400000001,2435.2358400000003,18768.0672,14713.056,7255.44864,1517.7456,3073.15296,3147.95808,6365.96928,9071.654400000001
