Date,EV (mm/mes)
1993-04-01,255
1993-05-01,224
1993-06-01,197
1993-07-01,123
1993-08-01,89
1993-09-01,77
1993-10-01,89
1993-11-01,115
1993-12-01,140
1994-01-01,173
1994-02-01,199
1994-03-01,238
1994-04-01,255
1994-05-01,224
1994-06-01,197
1994-07-01,123
1994-08-01,89
1994-09-01,77
1994-10-01,89
1994-11-01,115
1994-12-01,140
1995-01-01,173
1995-02-01,199
1995-03-01,238
1995-04-01,255
1995-05-01,224
1995-06-01,197
1995-07-01,123
1995-08-01,89
1995-09-01,77
1995-10-01,89
1995-11-01,115
1995-12-01,140
1996-01-01,173
1996-02-01,199
1996-03-01,238
1996-04-01,255
1996-05-01,224
1996-06-01,197
1996-07-01,123
1996-08-01,89
1996-09-01,77
1996-10-01,89
1996-11-01,115
1996-12-01,140
1997-01-01,173
1997-02-01,199
1997-03-01,238
1997-04-01,255
1997-05-01,224
1997-06-01,197
1997-07-01,123
1997-08-01,89
1997-09-01,77
1997-10-01,89
1997-11-01,115
1997-12-01,140
1998-01-01,173
1998-02-01,199
1998-03-01,238
1998-04-01,255
1998-05-01,224
1998-06-01,197
1998-07-01,123
1998-08-01,89
1998-09-01,77
1998-10-01,89
1998-11-01,115
1998-12-01,140
1999-01-01,173
1999-02-01,199
1999-03-01,238
1999-04-01,255
1999-05-01,224
1999-06-01,197
1999-07-01,123
1999-08-01,89
1999-09-01,77
1999-10-01,89
1999-11-01,115
1999-12-01,140
2000-01-01,173
2000-02-01,199
2000-03-01,238
2000-04-01,255
2000-05-01,224
2000-06-01,197
2000-07-01,123
2000-08-01,89
2000-09-01,77
2000-10-01,89
2000-11-01,115
2000-12-01,140
2001-01-01,173
2001-02-01,199
2001-03-01,238
2001-04-01,255
2001-05-01,224
2001-06-01,197
2001-07-01,123
2001-08-01,89
2001-09-01,77
2001-10-01,89
2001-11-01,115
2001-12-01,140
2002-01-01,173
2002-02-01,199
2002-03-01,238
2002-04-01,255
2002-05-01,224
2002-06-01,197
2002-07-01,123
2002-08-01,89
2002-09-01,77
2002-10-01,89
2002-11-01,115
2002-12-01,140
2003-01-01,173
2003-02-01,199
2003-03-01,238
2003-04-01,255
2003-05-01,224
2003-06-01,197
2003-07-01,123
2003-08-01,89
2003-09-01,77
2003-10-01,89
2003-11-01,115
2003-12-01,140
2004-01-01,173
2004-02-01,199
2004-03-01,238
2004-04-01,255
2004-05-01,224
2004-06-01,197
2004-07-01,123
2004-08-01,89
2004-09-01,77
2004-10-01,89
2004-11-01,115
2004-12-01,140
2005-01-01,173
2005-02-01,199
2005-03-01,238
2005-04-01,255
2005-05-01,224
2005-06-01,197
2005-07-01,123
2005-08-01,89
2005-09-01,77
2005-10-01,89
2005-11-01,115
2005-12-01,140
2006-01-01,173
2006-02-01,199
2006-03-01,238
2006-04-01,255
2006-05-01,224
2006-06-01,197
2006-07-01,123
2006-08-01,89
2006-09-01,77
2006-10-01,89
2006-11-01,115
2006-12-01,140
2007-01-01,173
2007-02-01,199
2007-03-01,238
2007-04-01,255
2007-05-01,224
2007-06-01,197
2007-07-01,123
2007-08-01,89
2007-09-01,77
2007-10-01,89
2007-11-01,115
2007-12-01,140
2008-01-01,173
2008-02-01,199
2008-03-01,238
2008-04-01,255
2008-05-01,224
2008-06-01,197
2008-07-01,123
2008-08-01,89
2008-09-01,77
2008-10-01,89
2008-11-01,115
2008-12-01,140
2009-01-01,173
2009-02-01,199
2009-03-01,238
2009-04-01,255
2009-05-01,224
2009-06-01,197
2009-07-01,123
2009-08-01,89
2009-09-01,77
2009-10-01,89
2009-11-01,115
2009-12-01,140
2010-01-01,173
2010-02-01,199
2010-03-01,238
2010-04-01,255
2010-05-01,224
2010-06-01,197
2010-07-01,123
2010-08-01,89
2010-09-01,77
2010-10-01,89
2010-11-01,115
2010-12-01,140
2011-01-01,173
2011-02-01,199
2011-03-01,238
2011-04-01,255
2011-05-01,224
2011-06-01,197
2011-07-01,123
2011-08-01,89
2011-09-01,77
2011-10-01,89
2011-11-01,115
2011-12-01,140
2012-01-01,173
2012-02-01,199
2012-03-01,238
2012-04-01,255
2012-05-01,224
2012-06-01,197
2012-07-01,123
2012-08-01,89
2012-09-01,77
