Date,EV (mm/mes)
2012-10-01,89
2012-11-01,115
2012-12-01,140
2013-01-01,173
2013-02-01,199
2013-03-01,238
2013-04-01,255
2013-05-01,224
2013-06-01,197
2013-07-01,123
2013-08-01,89
2013-09-01,77
2013-10-01,89
2013-11-01,115
2013-12-01,140
2014-01-01,173
2014-02-01,199
2014-03-01,238
2014-04-01,255
2014-05-01,224
2014-06-01,197
2014-07-01,123
2014-08-01,89
2014-09-01,77
2014-10-01,89
2014-11-01,115
2014-12-01,140
2015-01-01,173
2015-02-01,199
2015-03-01,238
2015-04-01,255
2015-05-01,224
2015-06-01,197
2015-07-01,123
2015-08-01,89
2015-09-01,77
2015-10-01,89
2015-11-01,115
2015-12-01,140
2016-01-01,173
2016-02-01,199
2016-03-01,238
2016-04-01,255
2016-05-01,224
2016-06-01,197
2016-07-01,123
2016-08-01,89
2016-09-01,77
2016-10-01,89
2016-11-01,115
2016-12-01,140
2017-01-01,173
2017-02-01,199
2017-03-01,238
2017-04-01,255
2017-05-01,224
2017-06-01,197
2017-07-01,123
2017-08-01,89
2017-09-01,77
2017-10-01,89
2017-11-01,115
2017-12-01,140
2018-01-01,173
2018-02-01,199
2018-03-01,238
2018-04-01,255
2018-05-01,224
2018-06-01,197
2018-07-01,123
2018-08-01,89
2018-09-01,77
2018-10-01,89
2018-11-01,115
2018-12-01,140
2019-01-01,173
2019-02-01,199
2019-03-01,238
2019-04-01,255
2019-05-01,224
2019-06-01,197
2019-07-01,123
2019-08-01,89
2019-09-01,77
2019-10-01,89
2019-11-01,115
2019-12-01,140
2020-01-01,173
2020-02-01,199
2020-03-01,238
2020-04-01,255
2020-05-01,224
2020-06-01,197
2020-07-01,123
2020-08-01,89
2020-09-01,77
2020-10-01,89
2020-11-01,115
2020-12-01,140
2021-01-01,173
2021-02-01,199
2021-03-01,238
2021-04-01,255
2021-05-01,224
2021-06-01,197
2021-07-01,123
2021-08-01,89
2021-09-01,77
2021-10-01,89
2021-11-01,115
2021-12-01,140
2022-01-01,173
2022-02-01,199
2022-03-01,238
