"1 Dec 2012";140
"1 Jan 2013";173
"1 Feb 2013";199
"1 Mar 2013";238
"1 Apr 2013";255
"1 May 2013";224
"1 Jun 2013";197
"1 Jul 2013";123
"1 Aug 2013";89
"1 Sep 2013";77
"1 Oct 2013";89
"1 Nov 2013";115
"1 Dec 2013";140
"1 Jan 2014";173
"1 Feb 2014";199
"1 Mar 2014";238
"1 Apr 2014";255
"1 May 2014";224
"1 Jun 2014";197
"1 Jul 2014";123
"1 Aug 2014";89
"1 Sep 2014";77
"1 Oct 2014";89
"1 Nov 2014";115
"1 Dec 2014";140
"1 Jan 2015";173
"1 Feb 2015";199
"1 Mar 2015";238
"1 Apr 2015";255
"1 May 2015";224
"1 Jun 2015";197
"1 Jul 2015";123
"1 Aug 2015";89
"1 Sep 2015";77
"1 Oct 2015";89
"1 Nov 2015";115
"1 Dec 2015";140
"1 Jan 2016";173
"1 Feb 2016";199
"1 Mar 2016";238
"1 Apr 2016";255
"1 May 2016";224
"1 Jun 2016";197
"1 Jul 2016";123
"1 Aug 2016";89
"1 Sep 2016";77
"1 Oct 2016";89
"1 Nov 2016";115
"1 Dec 2016";140
"1 Jan 2017";173
"1 Feb 2017";199
"1 Mar 2017";238
"1 Apr 2017";255
"1 May 2017";224
"1 Jun 2017";197
"1 Jul 2017";123
"1 Aug 2017";89
"1 Sep 2017";77
"1 Oct 2017";89
"1 Nov 2017";115
"1 Dec 2017";140
"1 Jan 2018";173
"1 Feb 2018";199
"1 Mar 2018";238
"1 Apr 2018";255
"1 May 2018";224
"1 Jun 2018";197
"1 Jul 2018";123
"1 Aug 2018";89
"1 Sep 2018";77
"1 Oct 2018";89
"1 Nov 2018";115
"1 Dec 2018";140
"1 Jan 2019";173
"1 Feb 2019";199
"1 Mar 2019";238
"1 Apr 2019";255
"1 May 2019";224
"1 Jun 2019";197
"1 Jul 2019";123
"1 Aug 2019";89
"1 Sep 2019";77
"1 Oct 2019";89
"1 Nov 2019";115
"1 Dec 2019";140
"1 Jan 2020";173
"1 Feb 2020";199
"1 Mar 2020";238
"1 Apr 2020";255
"1 May 2020";224
"1 Jun 2020";197
"1 Jul 2020";123
"1 Aug 2020";89
"1 Sep 2020";77
"1 Oct 2020";89
"1 Nov 2020";115
"1 Dec 2020";140
"1 Jan 2021";173
"1 Feb 2021";199
"1 Mar 2021";238
"1 Apr 2021";255
"1 May 2021";224
"1 Jun 2021";197
"1 Jul 2021";123
"1 Aug 2021";89
"1 Sep 2021";77
"1 Oct 2021";89
"1 Nov 2021";115
"1 Dec 2021";140
"1 Jan 2022";173
"1 Feb 2022";199
"1 Mar 2022";238
