Date,Transmission Link from Withdrawal Node 1 to CanalZR1_1,Transmission Link from Withdrawal Node 10 to CanalZR2_2,Transmission Link from Withdrawal Node 11 to ZR2_2_notec,Transmission Link from Withdrawal Node 12 to ZR2_2_tec,Transmission Link from Withdrawal Node 13 to CanalZR3,Transmission Link from Withdrawal Node 14 to ZR3_notec,Transmission Link from Withdrawal Node 15 to ZR3_tec,Transmission Link from Withdrawal Node 16 to CanalZR4_2,Transmission Link from Withdrawal Node 17 to CanalZR4_1,Transmission Link from Withdrawal Node 18 to ZR4_1_notec,Transmission Link from Withdrawal Node 19 to ZR4_1_tec,Transmission Link from Withdrawal Node 2 to CanalZR1_2,Transmission Link from Withdrawal Node 20 to ZR4_2_notec,Transmission Link from Withdrawal Node 21 to ZR4_2_tec,Transmission Link from Withdrawal Node 22 to CanalZR5,Transmission Link from Withdrawal Node 23 to ZR5_notec,Transmission Link from Withdrawal Node 24 to ZR5_tec,Transmission Link from Withdrawal Node 25 to CanalZR6,Transmission Link from Withdrawal Node 26 to CanalZR7,Transmission Link from Withdrawal Node 27 to ZR7_notec,Transmission Link from Withdrawal Node 28 to ZR7_tec,Transmission Link from Withdrawal Node 29 to CanalZR8,Transmission Link from Withdrawal Node 3 to ZR1_2_notec,Transmission Link from Withdrawal Node 30 to ZR8_notec,Transmission Link from Withdrawal Node 31 to ZR8_tec,Transmission Link from Withdrawal Node 32 to ZR6_tec,Transmission Link from Withdrawal Node 33 to ZR6_notec,Transmission Link from Withdrawal Node 34 to Inf Canal,Transmission Link from Withdrawal Node 35 to InfCanal5,Transmission Link from Withdrawal Node 36 to InfCanal6,Transmission Link from Withdrawal Node 37 to InfCanal7,Transmission Link from Withdrawal Node 38 to InfCanal8,Transmission Link from Withdrawal Node 39 to DAAsup_Chollay,Transmission Link from Withdrawal Node 4 to ZR1_2_tec,Transmission Link from Withdrawal Node 40 to DAAsup_QuebElCorral,Transmission Link from Withdrawal Node 41 to DAAsup_Transito,Transmission Link from Withdrawal Node 42 to Daasup_QuebElCarrizo,Transmission Link from Withdrawal Node 43 to DAAsup_CAP,Transmission Link from Withdrawal Node 44 to InfCanal4_2,Transmission Link from Withdrawal Node 5 to ZR1_1_tec,Transmission Link from Withdrawal Node 6 to ZR1_1_notec,Transmission Link from Withdrawal Node 7 to CanalZR2_1,Transmission Link from Withdrawal Node 8 to ZR2_1_notec,Transmission Link from Withdrawal Node 9 to ZR2_1_tec
1994-04-01,42029.3664,13221.7056,546.95952,11520.0576,8846.5824,2481.69312,2266.7904,194852.736,33965.3088,4338.00576,7014.58272,22897.9008,54910.8288,22677.0624,274970.592,104202.72,48522.672,22045.824,30282.163200000003,11759.7312,9329.9904,84346.8768,4196.16288,10987.660800000001,5829.28704,2277.49536,7947.754559999999,0.0,0.0,0.0,0.0,0.0,6531.84,3501.2304,10368.0,34.56,285.12,12960.0,0.0,3927.07872,15556.2336,95988.672,25128.6624,29203.2864
1994-05-01,34100.6112,10744.271999999999,34.7151744,731.170368,7188.92928,371.639232,339.45696,158093.856,27557.8848,1652.50368,2672.11008,18607.3632,43542.9216,17982.3456,205872.19199999998,82902.3552,38604.0384,17914.8672,24569.4816,9287.9136,7370.1705600000005,68435.0208,1034.88192,8877.5136,4701.04992,1834.3756799999999,6401.41056,0.0,2532.37536,283.584672,105.007104,1882.55232,6321.13632,863.491968,10033.5456,33.445180799999996,275.92271999999997,12541.9104,5875.657920000001,2078.3088,8232.7536,77880.7008,9354.6144,10871.4528
1994-06-01,30937.9392,9753.5232,27.6322752,581.9904,6526.0512,302.763744,276.545664,143430.912,25002.0,1220.4259200000001,1973.4364799999998,16891.632,35613.3888,14707.612799999999,184520.16,65709.36,30597.9552,16262.9856,22290.767999999996,6737.61888,5357.396159999999,62087.903999999995,805.552128,6902.832960000001,3664.89792,1359.47808,4744.15488,0.0,1611.4032,234.26496,103.777632,1633.58208,6531.84,672.1436160000001,6571.07424,17.031168,140.507136,12960.0,5202.2736,1559.11392,6176.07072,70657.5744,7864.10208,9139.3056
1994-07-01,27691.9776,8711.8848,26.8341984,565.182144,5829.079680000001,328.39430400000003,299.956608,128382.62400000001,22378.8096,1299.01536,2100.52224,15087.6,42008.2848,17348.6016,165160.51200000002,77201.424,35949.312,14526.1728,19952.0928,7906.56768,6295.35456,55573.776,777.9611520000001,7318.13184,3880.90656,1512.28512,5277.41568,0.0,1849.53024,250.16342400000002,201.47529600000001,1452.93696,6321.13632,649.122336,6766.52832,14.970096,123.502752,12541.9104,4824.437760000001,1365.2755200000001,5408.233920000001,63244.2816,6238.06272,7249.57344
1994-08-01,25693.804799999998,8086.063679999999,35.620473600000004,750.238848,5410.35072,470.63376000000005,429.878016,119118.81599999999,20763.9936,2563.1424,4144.608,14003.7984,54743.9904,22608.2016,175215.744,95599.008,44554.83839999999,13482.6336,21429.6192,9412.9344,7423.764480000001,51563.692800000004,1164.4387199999999,8571.916799999999,4502.71008,1812.8880000000001,6326.43264,0.0,662.233536,178.61644800000002,49.402483200000006,1277.15616,2474.72064,971.59392,3928.1328,13.8630528,114.370272,2.4151392,3374.5766399999998,2006.05248,7946.54496,58680.72,9425.9808,10954.4832
1994-09-01,26998.5312,8505.0,378.476064,7971.46272,5690.65824,2050.21152,1872.66816,128494.94399999999,21818.419199999997,5655.85632,9145.5264,14729.2992,72120.0672,29787.0048,195406.56,106541.568,50620.896,14181.1776,22062.9312,9750.3264,7652.664,54182.1312,3581.0208,10561.7088,5527.34496,2415.90816,8430.79104,0.0,0.0,102.796992,0.0,1118.37888,2602.93824,2987.96256,4131.648,14.846976000000002,122.487552,10.205568,1486.3824,3620.0908799999997,14340.153600000001,61660.569599999995,21658.1472,25170.048000000003
1994-10-01,25292.822399999997,10251.4464,618.846048,9632.5632,6001.59456,3136.6051199999997,2864.98944,119092.03199999999,20932.819199999998,7998.782399999999,12934.08,13782.0096,67991.9616,28081.6416,185553.504,100980.864,48228.652799999996,14980.032000000001,21210.5088,9407.232,7328.38752,50759.049600000006,5595.40224,14428.5408,7518.4848,2786.53824,9423.8208,0.0,0.0,22.328697599999998,0.0,1013.48928,2435.5296,4668.74496,3865.9248,13.585449599999999,112.079808,0.442145088,143.84304,4891.34592,19375.9776,62301.3984,28814.313599999998,33487.0848
1994-11-01,29418.0768,13604.975999999999,1044.62784,12560.3136,7067.088000000001,3693.4617599999997,3373.62624,130134.81599999999,22274.1792,8511.33312,13762.8288,14965.8624,74426.4288,30742.6752,202660.70400000003,109928.44799999999,52983.3312,14768.6976,23926.838399999997,10566.9792,8305.174079999999,55054.512,8126.31744,17563.3056,9137.750399999999,2690.3059200000002,9388.3968,0.0,0.0,0.0,0.0,741.782016,2644.73856,6780.507839999999,4198.0032,15.60384,128.73168,11.364537599999998,14.863824,5929.53696,23488.531199999998,63325.584,29285.5392,34039.9584
1994-12-01,29572.3872,18996.0768,1046.68416,17949.340799999998,8426.94624,4404.17088,4022.7839999999997,133976.16,23991.984,9167.7312,14824.2528,16040.3328,76633.9488,31657.1328,204291.936,111003.264,53248.1472,15794.6112,29435.270399999998,13013.9136,10205.136,57961.3536,8743.8528,20443.536,10652.8608,2877.18912,10040.544,0.0,0.0,0.0,0.0,646.148448,2784.456,7296.45408,4419.77472,16.7895072,138.513024,7.944791040000001,1.4384304,5960.640960000001,23611.737600000004,70274.6496,32497.199999999997,37777.4496
1995-01-01,29622.9312,20653.920000000002,1109.08224,19544.8032,9257.068800000001,4838.00256,4419.04896,137234.304,23871.456,9121.1616,14750.208,16346.2752,78504.4224,32422.5504,204112.22400000002,110922.912,53187.0624,16378.1568,29896.9056,12965.7024,10579.5936,59280.422399999996,8910.432,19613.232,10387.0944,2983.48704,10411.4592,0.0,0.0,0.0,0.0,588.507552,2849.56704,7435.80864,4523.1264,16.562016,136.63728,10.528012799999999,0.14384304,5970.83616,23652.1728,77381.136,35787.5712,41593.5648
1995-02-01,28188.1728,18152.208,1210.10976,16942.176,8053.48224,4208.98464,3844.4976,127891.008,22291.5456,8517.96864,13773.6288,15457.132800000001,73159.1136,30216.0672,192982.176,104810.112,50341.13279999999,15243.6384,28247.0976,12241.584,10003.219200000001,55335.8304,8426.31552,17503.9488,9265.7088,2776.82688,9690.278400000001,0.0,0.0,0.0,0.0,742.1181119999999,2658.69216,7030.82592,4220.14752,15.6112704,128.793024,5.14105056,0.0159255072,5681.62944,22506.5088,70363.8144,32542.387199999997,37821.427200000006
